               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/cells_mAP,metrics/cells_mAP_50
                  61,            0.059087,             0.46938,                   0,             0.51331,             0.71569,             0.66917,             0.34188,            0.075321,              1.0405,                   0,             0.00802,             0.00802,             0.00802,             0.34188,             0.66917
                  62,            0.067687,             0.47543,                   0,             0.51331,             0.71569,             0.66917,             0.34188,            0.075321,              1.0405,                   0,            0.007987,            0.007987,            0.007987,             0.34188,             0.66917
                  63,            0.067949,             0.43865,                   0,              0.6192,             0.71455,             0.69016,             0.35526,            0.060583,             0.79663,                   0,            0.007954,            0.007954,            0.007954,             0.35526,             0.69016
                  64,            0.051101,             0.36395,                   0,              0.6192,             0.71455,             0.69016,             0.35526,            0.060583,             0.79663,                   0,            0.007921,            0.007921,            0.007921,             0.35526,             0.69016
                  65,            0.057161,             0.46536,                   0,             0.61801,             0.73358,             0.72262,             0.38299,            0.064175,             0.94995,                   0,            0.007888,            0.007888,            0.007888,             0.38299,             0.72262
                  66,            0.059046,             0.45436,                   0,             0.61801,             0.73358,             0.72262,             0.38299,            0.064175,             0.94995,                   0,            0.007855,            0.007855,            0.007855,             0.38299,             0.72262
                  67,            0.058455,             0.44917,                   0,             0.39778,              0.5559,             0.44154,             0.19396,            0.066185,             0.86609,                   0,            0.007822,            0.007822,            0.007822,             0.19396,             0.44154
                  68,            0.060216,             0.42894,                   0,             0.39778,              0.5559,             0.44154,             0.19396,            0.066185,             0.86621,                   0,            0.007789,            0.007789,            0.007789,             0.19396,             0.44154
                  69,            0.059104,             0.38005,                   0,             0.49312,             0.65217,             0.59754,             0.33016,            0.072167,             0.82935,                   0,            0.007756,            0.007756,            0.007756,             0.33016,             0.59754
                  70,            0.067096,             0.37945,                   0,             0.49312,             0.65217,             0.59754,             0.33016,            0.072167,             0.82935,                   0,            0.007723,            0.007723,            0.007723,             0.33016,             0.59754
                  71,            0.068859,             0.50175,                   0,             0.76506,             0.87477,             0.85638,             0.48728,            0.060412,              0.9447,                   0,             0.00769,             0.00769,             0.00769,             0.48728,             0.85638
                  72,            0.056592,             0.44594,                   0,             0.76506,             0.87477,             0.85638,             0.48728,            0.060412,             0.94507,                   0,            0.007657,            0.007657,            0.007657,             0.48728,             0.85638
                  73,            0.055415,             0.38997,                   0,              0.7558,             0.75155,             0.81818,             0.45841,            0.058077,             0.78052,                   0,            0.007624,            0.007624,            0.007624,             0.45841,             0.81818
                  74,             0.05468,             0.45953,                   0,              0.7558,             0.75155,             0.81818,             0.45841,            0.058077,             0.78052,                   0,            0.007591,            0.007591,            0.007591,             0.45841,             0.81818
                  75,            0.054789,             0.47026,                   0,              0.6924,             0.79692,             0.78384,             0.45679,            0.057804,             0.92004,                   0,            0.007558,            0.007558,            0.007558,             0.45679,             0.78384
                  76,            0.051067,             0.37445,                   0,              0.6924,             0.79692,             0.78384,             0.45679,            0.057804,              0.9201,                   0,            0.007525,            0.007525,            0.007525,             0.45679,             0.78384
                  77,            0.054453,             0.45638,                   0,             0.41178,             0.56988,             0.48402,             0.15657,            0.070607,             0.92786,                   0,            0.007492,            0.007492,            0.007492,             0.15657,             0.48402
                  78,             0.06546,              0.4842,                   0,             0.41178,             0.56988,             0.48402,             0.15657,            0.070607,             0.92786,                   0,            0.007459,            0.007459,            0.007459,             0.15657,             0.48402
                  79,            0.063292,             0.39682,                   0,             0.59936,             0.78106,             0.64808,              0.2733,            0.057795,             0.81226,                   0,            0.007426,            0.007426,            0.007426,              0.2733,             0.64808
                  80,             0.05599,             0.46258,                   0,             0.59936,             0.78106,             0.64808,              0.2733,            0.057795,             0.81177,                   0,            0.007393,            0.007393,            0.007393,              0.2733,             0.64808
                  81,            0.050306,             0.41321,                   0,             0.66766,              0.7236,             0.74552,             0.42813,            0.059619,             0.82556,                   0,             0.00736,             0.00736,             0.00736,             0.42813,             0.74552
                  82,            0.053117,             0.35195,                   0,             0.66766,              0.7236,             0.74552,             0.42813,            0.059619,             0.82544,                   0,            0.007327,            0.007327,            0.007327,             0.42813,             0.74552
                  83,            0.054599,             0.40774,                   0,             0.56614,              0.7205,             0.67726,              0.3736,            0.065562,             0.87927,                   0,            0.007294,            0.007294,            0.007294,              0.3736,             0.67726
                  84,            0.061768,             0.43028,                   0,             0.56614,              0.7205,             0.67726,              0.3736,            0.065562,             0.87939,                   0,            0.007261,            0.007261,            0.007261,              0.3736,             0.67726
                  85,            0.060854,             0.39343,                   0,              0.8017,             0.80354,             0.86513,             0.51666,            0.055539,              0.7713,                   0,            0.007228,            0.007228,            0.007228,             0.51666,             0.86513
                  86,            0.049925,             0.37553,                   0,              0.8017,             0.80354,             0.86513,             0.51666,            0.055539,              0.7713,                   0,            0.007195,            0.007195,            0.007195,             0.51666,             0.86513
                  87,            0.048097,             0.39263,                   0,             0.60864,             0.71894,             0.73503,             0.31319,            0.072798,             0.87219,                   0,            0.007162,            0.007162,            0.007162,             0.31319,             0.73503
                  88,            0.066098,             0.45646,                   0,             0.60864,             0.71894,             0.73503,             0.31319,            0.072798,             0.87256,                   0,            0.007129,            0.007129,            0.007129,             0.31319,             0.73503
                  89,            0.068278,             0.49516,                   0,             0.76587,             0.84938,             0.84499,             0.50119,            0.055375,             0.82239,                   0,            0.007096,            0.007096,            0.007096,             0.50119,             0.84499
                  90,            0.050277,             0.41402,                   0,             0.76587,             0.84938,             0.84499,             0.50119,            0.055375,             0.82239,                   0,            0.007063,            0.007063,            0.007063,             0.50119,             0.84499
                  91,            0.049615,             0.40837,                   0,             0.67418,             0.78416,             0.78708,             0.45035,            0.060371,             0.79431,                   0,             0.00703,             0.00703,             0.00703,             0.45035,             0.78708
                  92,            0.062868,             0.46622,                   0,             0.67418,             0.78416,             0.78708,             0.45035,            0.060371,             0.79419,                   0,            0.006997,            0.006997,            0.006997,             0.45035,             0.78708
                  93,            0.058882,             0.44206,                   0,             0.71051,             0.80794,             0.79173,             0.43232,            0.058171,             0.84351,                   0,            0.006964,            0.006964,            0.006964,             0.43232,             0.79173
                  94,            0.057276,             0.42959,                   0,             0.71051,             0.80794,             0.79173,             0.43232,            0.058171,             0.84351,                   0,            0.006931,            0.006931,            0.006931,             0.43232,             0.79173
                  95,            0.056983,             0.39105,                   0,             0.58103,             0.73913,             0.69985,             0.34774,            0.057262,             0.79065,                   0,            0.006898,            0.006898,            0.006898,             0.34774,             0.69985
                  96,            0.052398,             0.36938,                   0,             0.58103,             0.73913,             0.69985,             0.34774,            0.057262,             0.79065,                   0,            0.006865,            0.006865,            0.006865,             0.34774,             0.69985
                  97,            0.051242,             0.36704,                   0,             0.61626,             0.69876,             0.74057,             0.39296,            0.064488,             0.82599,                   0,            0.006832,            0.006832,            0.006832,             0.39296,             0.74057
                  98,            0.064466,             0.48607,                   0,             0.61626,             0.69876,             0.74057,             0.39296,            0.064488,             0.82562,                   0,            0.006799,            0.006799,            0.006799,             0.39296,             0.74057
                  99,            0.060921,             0.47219,                   0,             0.83405,             0.81167,             0.89842,             0.51773,            0.054979,             0.81219,                   0,            0.006766,            0.006766,            0.006766,             0.51773,             0.89842
                 100,            0.045081,             0.31421,                   0,             0.83405,             0.81167,             0.89842,             0.51773,            0.054979,             0.81213,                   0,            0.006733,            0.006733,            0.006733,             0.51773,             0.89842
                 101,            0.048023,             0.33912,                   0,             0.71206,             0.77329,             0.80622,             0.46976,            0.058499,              0.7774,                   0,              0.0067,              0.0067,              0.0067,             0.46976,             0.80622
                 102,            0.052688,             0.38589,                   0,             0.71206,             0.77329,             0.80622,             0.46976,            0.058499,             0.77728,                   0,            0.006667,            0.006667,            0.006667,             0.46976,             0.80622
                 103,            0.053333,             0.35336,                   0,             0.74996,             0.76863,             0.83753,              0.4645,            0.057924,             0.80157,                   0,            0.006634,            0.006634,            0.006634,              0.4645,             0.83753
                 104,            0.051424,             0.38758,                   0,             0.74996,             0.76863,             0.83753,              0.4645,            0.057924,             0.80188,                   0,            0.006601,            0.006601,            0.006601,              0.4645,             0.83753
                 105,             0.05551,             0.47691,                   0,             0.78342,             0.85404,             0.88274,              0.5404,            0.053151,             0.87708,                   0,            0.006568,            0.006568,            0.006568,              0.5404,             0.88274
                 106,            0.047228,             0.35277,                   0,             0.78342,             0.85404,             0.88274,              0.5404,            0.053151,             0.87683,                   0,            0.006535,            0.006535,            0.006535,              0.5404,             0.88274
                 107,            0.051154,             0.51338,                   0,               0.721,             0.81677,              0.8073,             0.45851,            0.060935,              1.1877,                   0,            0.006502,            0.006502,            0.006502,             0.45851,              0.8073
                 108,            0.055536,             0.46583,                   0,               0.721,             0.81677,              0.8073,             0.45851,            0.060935,              1.1879,                   0,            0.006469,            0.006469,            0.006469,             0.45851,              0.8073
                 109,            0.052825,             0.46791,                   0,             0.76396,             0.85435,             0.87311,             0.51111,            0.054464,             0.98962,                   0,            0.006436,            0.006436,            0.006436,             0.51111,             0.87311
                 110,            0.047281,             0.43764,                   0,             0.76396,             0.85435,             0.87311,             0.51111,            0.054464,             0.99023,                   0,            0.006403,            0.006403,            0.006403,             0.51111,             0.87311
                 111,            0.050208,             0.46775,                   0,             0.50556,             0.70652,             0.63636,             0.35019,            0.065834,              1.0115,                   0,             0.00637,             0.00637,             0.00637,             0.35019,             0.63636
                 112,            0.063685,             0.48663,                   0,             0.50556,             0.70652,             0.63636,             0.35019,            0.065834,              1.0115,                   0,            0.006337,            0.006337,            0.006337,             0.35019,             0.63636
                 113,            0.060588,             0.40661,                   0,             0.77296,             0.74539,              0.8204,             0.51474,            0.061829,              0.8429,                   0,            0.006304,            0.006304,            0.006304,             0.51474,              0.8204
                 114,            0.055324,             0.41489,                   0,             0.77296,             0.74539,              0.8204,             0.51474,            0.061829,             0.84277,                   0,            0.006271,            0.006271,            0.006271,             0.51474,              0.8204
                 115,            0.055587,             0.37293,                   0,              0.8933,             0.78002,             0.87465,             0.52366,            0.058669,             0.86334,                   0,            0.006238,            0.006238,            0.006238,             0.52366,             0.87465
